row	occurrence_error	extensionID	eventID	occurrenceID	kingdom	phylum	class	order	family	genus	scientificName	rank	organismQuantity	organismQuantityType	basisOfRecord	identificationReferences	identificationRemarks
64	Potential duplicate record	MGYA00205585	MGYA00205585	MGYA00205585_Bacteria::Actinobacteria	Bacteria	Actinobacteria					Actinobacteria	phylum	23	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205585
67	Potential duplicate record	MGYA00205585	MGYA00205585	MGYA00205585_Bacteria::Actinobacteria:Actinobacteria	Bacteria	Actinobacteria	Actinobacteria				Actinobacteria	class	5	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205585
389	Potential duplicate record	MGYA00205586	MGYA00205586	MGYA00205586_Bacteria::Actinobacteria	Bacteria	Actinobacteria					Actinobacteria	phylum	152	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205586
393	Potential duplicate record	MGYA00205586	MGYA00205586	MGYA00205586_Bacteria::Actinobacteria:Actinobacteria	Bacteria	Actinobacteria	Actinobacteria				Actinobacteria	class	101	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205586
553	Potential duplicate record	MGYA00205586	MGYA00205586	MGYA00205586_Bacteria::Gemmatimonadetes	Bacteria	Gemmatimonadetes					Gemmatimonadetes	phylum	3	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205586
554	Potential duplicate record	MGYA00205586	MGYA00205586	MGYA00205586_Bacteria::Gemmatimonadetes:Gemmatimonadetes	Bacteria	Gemmatimonadetes	Gemmatimonadetes				Gemmatimonadetes	class	31	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205586
827	Potential duplicate record	MGYA00205586	MGYA00205586	MGYA00205586_Chloroplast:::::::uncultured_bacterium							uncultured bacterium	species	7	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205586
831	Potential duplicate record	MGYA00205586	MGYA00205586	MGYA00205586_Mitochondria:::::::uncultured_bacterium							uncultured bacterium	species	2	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205586
1402	Potential duplicate record	MGYA00205587	MGYA00205587	MGYA00205587_Eukaryota:Fungi:Ascomycota:Saccharomycetes:Saccharomycetales::Candida	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Candida	Candida	genus	4	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205587
1406	Potential duplicate record	MGYA00205587	MGYA00205587	MGYA00205587_Eukaryota:Fungi:Ascomycota:Saccharomycetes:Saccharomycetales:Debaryomycetaceae:Candida	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida	genus	41	DNA sequence reads	MaterialSample	https://www.ebi.ac.uk/metagenomics/pipelines/4.1	SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00205587
